# D1, D2, Energia
1.8000000000E+02,1.8000000000E+02,-1.5722436613E+02
1.8000000000E+02,2.0000000000E+02,-1.5722541666E+02
1.8000000000E+02,2.2000000000E+02,-1.5722713312E+02
1.8000000000E+02,2.4000000000E+02,-1.5722782704E+02
1.8000000000E+02,2.6000000000E+02,-1.5722703598E+02
1.8000000000E+02,2.8000000000E+02,-1.5722534309E+02
1.8000000000E+02,3.0000000000E+02,-1.5722436630E+02
1.8000000000E+02,3.2000000000E+02,-1.5722533713E+02
1.8000000000E+02,3.4000000000E+02,-1.5722705040E+02
1.8000000000E+02,3.6000000000E+02,-1.5722782825E+02
1.8000000000E+02,3.8000000000E+02,-1.5722705038E+02
1.8000000000E+02,4.0000000000E+02,-1.5722533722E+02
1.8000000000E+02,4.2000000000E+02,-1.5722436630E+02
1.8000000000E+02,4.4000000000E+02,-1.5722534297E+02
1.8000000000E+02,4.6000000000E+02,-1.5722703599E+02
1.8000000000E+02,4.8000000000E+02,-1.5722782704E+02
1.8000000000E+02,5.0000000000E+02,-1.5722713313E+02
1.8000000000E+02,5.2000000000E+02,-1.5722541667E+02
1.8000000000E+02,5.4000000000E+02,-1.5722436632E+02
2.0000000000E+02,1.8000000000E+02,-1.5722541669E+02
2.0000000000E+02,2.0000000000E+02,-1.5722643761E+02
2.0000000000E+02,2.2000000000E+02,-1.5722813761E+02
2.0000000000E+02,2.4000000000E+02,-1.5722882857E+02
2.0000000000E+02,2.6000000000E+02,-1.5722805121E+02
2.0000000000E+02,2.8000000000E+02,-1.5722638484E+02
2.0000000000E+02,3.0000000000E+02,-1.5722541674E+02
2.0000000000E+02,3.2000000000E+02,-1.5722635973E+02
2.0000000000E+02,3.4000000000E+02,-1.5722805150E+02
2.0000000000E+02,3.6000000000E+02,-1.5722882956E+02
2.0000000000E+02,3.8000000000E+02,-1.5722807303E+02
2.0000000000E+02,4.0000000000E+02,-1.5722638566E+02
2.0000000000E+02,4.2000000000E+02,-1.5722541658E+02
2.0000000000E+02,4.4000000000E+02,-1.5722637095E+02
2.0000000000E+02,4.6000000000E+02,-1.5722804359E+02
2.0000000000E+02,4.8000000000E+02,-1.5722882822E+02
2.0000000000E+02,5.0000000000E+02,-1.5722814939E+02
2.0000000000E+02,5.2000000000E+02,-1.5722646286E+02
2.0000000000E+02,5.4000000000E+02,-1.5722541673E+02
2.2000000000E+02,1.8000000000E+02,-1.5722713309E+02
2.2000000000E+02,2.0000000000E+02,-1.5722813761E+02
2.2000000000E+02,2.2000000000E+02,-1.5722980332E+02
2.2000000000E+02,2.4000000000E+02,-1.5723047766E+02
2.2000000000E+02,2.6000000000E+02,-1.5722970928E+02
2.2000000000E+02,2.8000000000E+02,-1.5722807387E+02
2.2000000000E+02,3.0000000000E+02,-1.5722713315E+02
2.2000000000E+02,3.2000000000E+02,-1.5722806185E+02
2.2000000000E+02,3.4000000000E+02,-1.5722971985E+02
2.2000000000E+02,3.6000000000E+02,-1.5723047887E+02
2.2000000000E+02,3.8000000000E+02,-1.5722973079E+02
2.2000000000E+02,4.0000000000E+02,-1.5722807476E+02
2.2000000000E+02,4.2000000000E+02,-1.5722713312E+02
2.2000000000E+02,4.4000000000E+02,-1.5722807089E+02
2.2000000000E+02,4.6000000000E+02,-1.5722971022E+02
2.2000000000E+02,4.8000000000E+02,-1.5723047773E+02
2.2000000000E+02,5.0000000000E+02,-1.5722980612E+02
2.2000000000E+02,5.2000000000E+02,-1.5722814945E+02
2.2000000000E+02,5.4000000000E+02,-1.5722713313E+02
2.4000000000E+02,1.8000000000E+02,-1.5722782675E+02
2.4000000000E+02,2.0000000000E+02,-1.5722882866E+02
2.4000000000E+02,2.2000000000E+02,-1.5723047767E+02
2.4000000000E+02,2.4000000000E+02,-1.5723114651E+02
2.4000000000E+02,2.6000000000E+02,-1.5723038308E+02
2.4000000000E+02,2.8000000000E+02,-1.5722875783E+02
2.4000000000E+02,3.0000000000E+02,-1.5722782713E+02
2.4000000000E+02,3.2000000000E+02,-1.5722875413E+02
2.4000000000E+02,3.4000000000E+02,-1.5723039905E+02
2.4000000000E+02,3.6000000000E+02,-1.5723114767E+02
2.4000000000E+02,3.8000000000E+02,-1.5723039871E+02
2.4000000000E+02,4.0000000000E+02,-1.5722875375E+02
2.4000000000E+02,4.2000000000E+02,-1.5722782713E+02
2.4000000000E+02,4.4000000000E+02,-1.5722875771E+02
2.4000000000E+02,4.6000000000E+02,-1.5723038282E+02
2.4000000000E+02,4.8000000000E+02,-1.5723114648E+02
2.4000000000E+02,5.0000000000E+02,-1.5723047773E+02
2.4000000000E+02,5.2000000000E+02,-1.5722882834E+02
